V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards
138,3050,11237,198,255648,55286,560,6473,1376,146,58316,157197,3117,3625932,723568,12956,114395,22553,2333,10,-79
139,2164,7315,131,188884,37311,378,4335,925,92,44688,104136,2020,2848556,497794,8440,80168,15846,1440,10,-69
140,1647,4833,85,147589,25591,246,3021,647,60,36576,69173,1316,2398933,342539,5471,59543,11637,912,0,-60
141,2049,6056,97,195474,35189,297,3909,779,73,80196,83271,1513,5510457,459570,6679,104360,19066,1456,10,-69
142,2817,3836,66,255258,23097,199,3738,752,57,57683,72162,1344,3933838,419671,6303,77679,15093,1102,10,-69
143,2124,3233,56,203737,20633,179,2886,608,43,39714,47796,883,2714236,280346,4085,52862,10017,692,10,-69
144,1477,2211,39,143860,14406,122,1995,410,30,33491,32193,581,2321111,191822,2665,42647,7606,445,10,-59
145,1225,1494,27,118806,9866,83,1575,308,22,28657,22263,387,1998144,135862,1786,35256,5985,288,0,-50
146,1572,1911,35,163336,13723,101,2176,392,28,61614,30479,476,4334356,198184,2763,71412,11522,316,10,-59
147,2164,1376,22,201965,9809,82,2512,450,13,46621,26114,430,3254880,179016,2390,55425,9292,278,0,-50
148,2634,2e3,30,271494,15726,117,3468,587,23,64078,31376,501,4489651,221733,2596,76072,12637,309,10,-69
149,2331,1427,24,218371,11066,79,2783,504,14,48138,26658,451,3345892,195085,2292,60113,10023,270,10,-69
150,1773,1197,20,173930,9638,69,2223,406,13,35905,18127,300,2494821,134338,1532,44569,7142,176,0,-50
151,2087,1550,26,213675,13580,85,2907,487,20,87764,27840,355,6176707,201064,1897,101559,15337,235,0,-50
152,4027,2076,29,364659,17858,103,5089,831,26,124814,65406,1181,8618260,541335,7137,165188,26881,747,10,-69
153,4448,2773,44,409767,24927,189,5844,1033,28,83279,47979,923,5727397,406270,5217,114366,18926,572,10,-69
154,3093,2177,39,293422,20359,149,4283,765,25,58846,31607,589,4058150,262742,3294,79209,13096,376,0,-60
155,3520,2755,49,348112,27670,180,5379,897,34,105902,42774,710,7393942,356277,4472,132702,21332,464,0,-60
156,5402,3421,59,473833,33990,226,7624,1276,43,138882,106399,2242,9348180,1029868,14931,213274,38071,2153,10,-69
157,5028,4516,88,448498,47407,399,7643,1475,74,92209,78924,1710,6152291,777504,11401,148472,26938,1532,0,-60
158,5606,6311,114,537240,69849,543,9907,1799,106,126235,80401,1626,8609399,766323,10716,182532,31419,1368,10,-79
159,4632,3751,71,414030,39573,315,6820,1277,56,85270,69596,1435,5729979,639382,9164,133289,23703,1094,0,-60
160,5185,5376,97,499459,57861,430,8860,1576,79,123208,88211,1770,8401094,797964,11328,178844,31456,1849,10,-69
161,4496,3971,74,402779,39816,322,6602,1262,68,83530,72110,1518,5609868,657487,9500,130108,23746,1366,0,-60
162,5053,5638,103,488121,59107,450,8617,1571,95,121800,84203,1709,8304100,775457,11051,173844,30995,1377,0,-60
163,6755,6923,127,570172,68408,553,10980,2004,108,152494,194120,4514,9930420,1769306,27685,277441,54345,4041,0,-70
164,8764,12332,244,722962,117310,1047,16227,3137,204,175773,332875,7471,10908044,2348050,41324,392676,74878,6373,10,-79
165,6539,14319,287,531207,112634,1128,14305,2958,230,116263,238101,5188,7115154,1557643,28140,273617,51136,4647,0,-70
166,7210,19493,350,626689,143482,1428,18432,3502,315,144888,228615,5003,9263894,1562592,27071,286606,53578,4302,10,-79
167,5379,10795,210,447657,80091,803,10980,2216,170,97981,198816,4089,6165223,1105348,20598,210915,39002,3434,0,-70
168,5995,15399,263,537641,102860,1032,14143,2658,234,133672,232348,4795,8713357,1253450,23216,248430,45823,4123,0,-70
169,7669,19082,323,609018,111951,1214,16873,3162,285,166125,496348,9693,10248396,2056769,43502,393672,72922,8281,10,-79
170,6133,21376,371,496142,98766,1201,14395,2892,298,110450,370960,7199,6698014,1386894,30616,277816,50786,5769,0,-70
171,6790,29749,465,588074,127789,1541,18627,3460,397,141368,349390,6715,9016661,1355024,28912,292031,52346,5436,10,-79
172,5230,16512,277,434731,69900,862,11177,2168,211,95648,300099,5706,5976822,982777,22248,213317,38178,4684,0,-70
173,5836,23389,361,522075,91243,1110,14350,2600,300,132275,343231,6389,8579899,1148010,24615,250515,45209,4820,10,-79
174,4849,15700,257,411845,57720,717,9442,1838,184,89900,278673,5246,5720591,862416,19079,182022,33053,3726,0,-70
175,5448,22018,332,498140,78973,942,12195,2228,252,127179,300404,5529,8377087,976156,20246,220177,38959,4079,0,-70
176,7146,25928,387,577540,87451,1082,14723,2664,295,162661,679266,12479,9987902,1899933,41118,350754,64958,8086,0,-70
177,9323,43253,676,728800,133817,1729,21092,3923,466,192277,1185649,20828,10961258,2445215,60484,504118,89568,13045,0,-80
178,11505,71756,1131,833595,186381,2641,30315,5548,740,223392,1640544,28943,11898017,2821523,80224,695611,116599,19225,0,-90
179,13940,103964,1678,920735,231880,3727,40739,7521,1124,249764,1909845,34636,12514526,3080127,106646,950151,150942,28090,0,-90
180,16132,130103,2197,984707,266416,5081,54207,9919,1662,277884,2121813,40746,12875677,3540822,148555,1122072,197920,41862,10,-99
181,10591,95233,1630,633842,177205,4190,41453,7972,1499,182110,1381868,27029,8267366,2325990,103329,734922,135315,29710,10,-99
182,6850,64041,1088,421386,120211,2972,27872,5514,1099,119158,868175,16947,5587453,1503082,64457,456445,84930,18634,0,-90
183,7438,72158,1212,486718,142958,3483,33038,6125,1352,152577,921605,17302,8412292,1906208,61042,433371,82618,17182,10,-99
184,5655,42528,714,402642,94527,1831,17063,3473,673,103069,674007,12774,5636830,1304182,44968,322091,58960,13328,10,-99
185,3845,30832,511,289012,66839,1294,12112,2405,494,71317,431715,8060,4011669,841704,28773,209862,38254,8440,10,-89
186,2655,20099,331,208201,43723,840,7980,1570,323,52499,278859,5166,3071029,571200,18246,138409,25394,5584,10,-79
187,1940,12997,214,159667,29465,534,5254,1043,212,41403,182359,3328,2527322,394242,11862,95085,17289,3320,0,-70
188,2357,16139,243,207310,40491,634,6523,1204,256,89143,205068,3630,5943914,531114,12126,138131,24541,3545,10,-79
189,3140,9553,149,274804,26676,361,5069,982,141,63659,177836,3144,4184112,483112,10400,102334,19030,2917,10,-69
190,2344,7967,124,216207,23772,296,3814,768,109,43524,116364,2035,2875811,322407,6541,68486,12781,1735,0,-60
191,2630,10125,143,253574,33131,353,4726,894,134,97372,124340,1990,6708926,408242,6708,125020,21090,1882,0,-60
192,4640,11265,156,402845,39277,386,6969,1268,149,135040,321175,5764,8934278,1195438,20642,202461,39492,4311,10,-69
193,4840,13715,223,426186,54949,552,7230,1526,157,90391,240778,4348,5909856,886671,15580,140670,27936,3389,10,-79
194,3358,10890,174,302624,44487,444,5272,1131,128,63158,151955,2706,4163666,562301,9566,95234,18600,2026,10,-69
195,2349,7084,115,215847,29224,282,3596,759,81,47435,98776,1750,3157932,380547,6137,68793,13198,1246,0,-60
