,V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards,policy
980,181,4509,30894.0,468.0,406163.0,63704.0,2416.0,10414.0,2356.0,7078,119308.0,421536.0,7620.0,7778205.0,839368.0,44544.0,200133.0,41013.0,96853.0,10,-89,0.0
981,182,4311,19471.0,310.0,370399.0,42103.0,1330.0,7442.0,1667.0,3744,82152.0,347938.0,6366.0,5247146.0,683520.0,33361.0,145513.0,30426.0,73176.0,10,-89,0.0
982,183,3049,15671.0,255.0,269577.0,34134.0,958.0,5451.0,1227.0,2704,58614.0,226846.0,4093.0,3782202.0,455237.0,21198.0,99276.0,20218.0,45780.0,10,-89,0.0
983,184,2176,10509.0,170.0,196732.0,23448.0,619.0,3749.0,823.0,1726,44730.0,145925.0,2592.0,2938026.0,308570.0,13359.0,71077.0,14088.0,28213.0,0,-80,0.0
984,185,2590,12986.0,191.0,245152.0,31990.0,727.0,4765.0,967.0,2084,98278.0,164621.0,2770.0,6746757.0,432814.0,12977.0,127453.0,22506.0,24233.0,0,-80,0.0
985,186,4643,14658.0,211.0,403732.0,39763.0,765.0,7080.0,1357.0,2085,136937.0,417552.0,7541.0,8960571.0,1201069.0,29663.0,202753.0,41324.0,47744.0,10,-89,0.0
986,187,4901,17843.0,287.0,427315.0,55284.0,813.0,7254.0,1601.0,1719,91687.0,312253.0,5600.0,5923549.0,889686.0,22107.0,140638.0,29524.0,34852.0,10,-89,0.0
987,188,3405,14126.0,222.0,303304.0,44657.0,630.0,5271.0,1194.0,1285,63936.0,195889.0,3503.0,4171580.0,564914.0,13920.0,95191.0,19530.0,21333.0,10,-89,0.0
988,189,2375,9138.0,145.0,216241.0,29353.0,411.0,3595.0,798.0,806,47943.0,126811.0,2264.0,3162465.0,382216.0,8699.0,68646.0,13772.0,12945.0,10,-79,0.0
989,190,1769,5907.0,94.0,164633.0,19719.0,257.0,2575.0,562.0,497,38650.0,84205.0,1500.0,2580992.0,267078.0,5569.0,52332.0,10313.0,8117.0,10,-69,0.0
990,191,1421,3909.0,64.0,132910.0,13699.0,165.0,1948.0,418.0,309,32035.0,55827.0,972.0,2181088.0,187206.0,3556.0,41482.0,7710.0,5303.0,0,-50,0.0
991,192,1782,4894.0,75.0,178527.0,19013.0,194.0,2624.0,514.0,384,70346.0,67149.0,1094.0,4889586.0,264382.0,4249.0,82907.0,14175.0,4422.0,0,-60,0.0
992,193,3283,5735.0,85.0,296333.0,24314.0,227.0,4317.0,801.0,387,116076.0,167977.0,3224.0,7876562.0,734214.0,11853.0,149948.0,28515.0,9274.0,0,-60,0.0
993,194,5593,10521.0,170.0,502307.0,49303.0,448.0,7694.0,1496.0,561,145169.0,287855.0,5522.0,9607944.0,1291313.0,21256.0,207037.0,41820.0,15485.0,0,-70,0.0
994,195,7792,18687.0,303.0,674980.0,87726.0,828.0,11744.0,2369.0,889,166886.0,431752.0,8631.0,10638716.0,2018874.0,33970.0,276665.0,58681.0,22012.0,0,-80,0.0
995,196,9785,29822.0,488.0,793534.0,140624.0,1383.0,16656.0,3487.0,1321,189886.0,691539.0,13181.0,11367094.0,2503934.0,46986.0,383088.0,77327.0,32041.0,10,-89,0.0
996,197,7091,30106.0,509.0,555223.0,121314.0,1306.0,14022.0,3074.0,1149,125976.0,511190.0,9709.0,7395808.0,1656112.0,32286.0,268937.0,53297.0,22956.0,0,-90,0.0
997,198,7816,41382.0,629.0,652092.0,152773.0,1641.0,18080.0,3643.0,1538,153778.0,490514.0,9108.0,9496326.0,1689547.0,32388.0,286088.0,56753.0,20269.0,10,-99,0.0
998,199,5724,23131.0,379.0,459260.0,86356.0,955.0,10933.0,2341.0,788,104199.0,420266.0,7662.0,6287873.0,1177257.0,24459.0,209400.0,40652.0,15582.0,10,-89,0.0
999,200,3889,18884.0,309.0,321690.0,60370.0,703.0,7863.0,1654.0,577,71910.0,276687.0,5016.0,4396573.0,773801.0,15929.0,139302.0,26938.0,9721.0,0,0,0.0
1000,1,0,9448.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10,0.0
1001,2,0,6153.0,0.0,0.0,0.0,0.0,0.0,6.0,0,10624.0,631061.0,9141.0,2148.0,9124.0,1678.0,5.0,32.0,4.0,10,-19,1.0
1002,3,353,25465.0,325.0,95.0,389.0,45.0,6.0,6.0,0,7944.0,470745.0,6850.0,1614.0,6771.0,1228.0,4.0,20.0,3.0,10,-19,0.0
1003,4,293,21174.0,272.0,84.0,341.0,37.0,6.0,6.0,0,4861.0,287756.0,4172.0,989.0,4137.0,762.0,2.0,12.0,1.0,10,-19,0.0
1004,5,189,13462.0,174.0,57.0,223.0,28.0,0.0,0.0,0,3088.0,183047.0,2659.0,630.0,2624.0,492.0,1.0,7.0,1.0,0,-10,0.0
1005,6,203,16463.0,194.0,82.0,294.0,35.0,0.0,0.0,6,3321.0,195420.0,2806.0,2176.0,5088.0,551.0,27.0,35.0,1.0,0,-10,0.0
1006,7,223,18061.0,213.0,158.0,419.0,41.0,6.0,6.0,6,8737.0,498794.0,7626.0,11320.0,16896.0,2065.0,162.0,161.0,30.0,10,-19,0.0
1007,8,309,21374.0,289.0,506.0,765.0,58.0,9.0,9.0,6,6491.0,373130.0,5603.0,8255.0,12528.0,1467.0,117.0,117.0,21.0,0,-30,0.0
1008,9,376,29879.0,368.0,856.0,1184.0,78.0,13.0,14.0,12,5776.0,331906.0,5144.0,9525.0,11946.0,1209.0,139.0,112.0,18.0,10,-39,0.0
1009,10,224,15837.0,214.0,502.0,627.0,40.0,8.0,8.0,6,5087.0,286056.0,4322.0,17392.0,12938.0,1014.0,253.0,142.0,15.0,0,-30,0.0
1010,11,287,22356.0,274.0,1218.0,1065.0,55.0,17.0,15.0,6,5937.0,318524.0,4936.0,29364.0,16722.0,1068.0,429.0,206.0,15.0,0,-30,0.0
1011,12,351,26972.0,333.0,2268.0,1481.0,66.0,32.0,20.0,5,13244.0,680095.0,10467.0,96726.0,43413.0,2910.0,1396.0,588.0,49.0,10,-39,0.0
1012,13,472,29368.0,399.0,4412.0,2004.0,83.0,50.0,24.0,6,10061.0,510915.0,7960.0,83602.0,33791.0,2083.0,1200.0,476.0,35.0,10,-39,0.0
1013,14,373,23122.0,315.0,4222.0,1689.0,64.0,48.0,22.0,6,6364.0,319923.0,4944.0,56899.0,21434.0,1293.0,830.0,314.0,23.0,0,-30,0.0
1014,15,403,28598.0,353.0,6359.0,2290.0,76.0,61.0,29.0,12,7386.0,315442.0,4970.0,131293.0,26790.0,1255.0,1884.0,513.0,32.0,0,-30,0.0
1015,16,467,29890.0,380.0,10154.0,2703.0,81.0,103.0,41.0,17,24619.0,842631.0,12989.0,693639.0,95604.0,4600.0,10718.0,2344.0,140.0,0,-30,0.0
1016,17,1082,51116.0,687.0,38373.0,6060.0,170.0,418.0,114.0,23,44064.0,1409014.0,21699.0,1373140.0,176777.0,7586.0,21598.0,4912.0,251.0,10,-59,0.0
1017,18,1548,60430.0,824.0,63936.0,8214.0,210.0,744.0,188.0,11,31598.0,950842.0,14725.0,1059562.0,127448.0,5013.0,16911.0,3644.0,173.0,10,-69,0.0
1018,19,1166,43606.0,589.0,54521.0,6438.0,147.0,623.0,149.0,9,20818.0,588900.0,9059.0,747328.0,81685.0,3068.0,11759.0,2452.0,107.0,10,-69,0.0
1019,20,777,27562.0,370.0,39447.0,4245.0,93.0,447.0,102.0,6,15640.0,379200.0,5805.0,642349.0,56912.0,1962.0,9909.0,1943.0,71.0,10,-49,0.0
1020,21,578,17686.0,241.0,32843.0,2925.0,61.0,367.0,80.0,6,12008.0,246550.0,3764.0,550172.0,40581.0,1279.0,8370.0,1554.0,47.0,0,-40,0.0
1021,22,694,21896.0,272.0,54008.0,4090.0,75.0,518.0,102.0,12,21578.0,263147.0,4123.0,1191688.0,59763.0,1400.0,18670.0,2973.0,65.0,10,-59,0.0
