bio10_5,bio10_prMay,lat,lon,lambda,N
-1.268983545,-0.628806433,2991880.134,2102535.591,0.781714621,0
-1.14596714,-1.23310067,2991880.134,2105535.591,0.781790801,0
-1.004639274,-1.64626019,2991880.134,2108535.591,0.784680111,0
-1.004423022,-1.115280856,2991880.134,2111535.591,0.781860981,0
-1.001763388,-1.100814236,2991880.134,2114535.591,0.781854547,0
-0.931934573,-1.381046605,2991880.134,2117535.591,0.782942174,0
-0.932278991,-1.206904399,2991880.134,2120535.591,0.782097764,0
-1.567487158,0.120029724,2988880.134,2000535.591,0.781714287,0
-1.280923033,-1.336874268,2988880.134,2003535.591,0.781756472,0
-1.24101602,-0.999985922,2988880.134,2006535.591,0.781720198,0
-1.209911402,-1.38524718,2988880.134,2009535.591,0.781815808,0
-1.197155265,-1.040622311,2988880.134,2012535.591,0.781727164,0
-1.299293453,-1.017642228,2988880.134,2015535.591,0.781718036,0
-1.452199619,-0.248872019,2988880.134,2018535.591,0.781714293,0
-1.087265005,-2.082248916,2988880.134,2021535.591,0.792942215,0
-0.792354482,-2.25868462,2988880.134,2045535.591,0.875753408,0
-0.964483258,-1.375586413,2988880.134,2048535.591,0.782759976,0
-1.35936384,-0.464247348,2988880.134,2051535.591,0.781714332,0
-1.257454861,-1.194572122,2988880.134,2054535.591,0.781732329,0
-1.068297973,-1.781807527,2988880.134,2057535.591,0.785266182,0
-1.039063322,-1.30082946,2988880.134,2060535.591,0.78202977,0
-1.279617608,-0.187870139,2988880.134,2063535.591,0.781714306,0
-1.267056061,-0.508365563,2988880.134,2066535.591,0.781714453,0
-1.203820412,-1.172825263,2988880.134,2069535.591,0.781739562,0
-0.958558283,-1.972212254,2988880.134,2072535.591,0.799643608,0
-0.895567109,-1.954219048,2988880.134,2075535.591,0.807785105,0
-0.897534409,-1.638736309,2988880.134,2078535.591,0.788211966,0
-0.9202938,-1.289125854,2988880.134,2081535.591,0.782521346,0
-1.138642637,-0.502984911,2988880.134,2084535.591,0.781714824,0
-1.153887638,-0.608498412,2988880.134,2087535.591,0.781715243,0
-1.126712044,-1.190271682,2988880.134,2090535.591,0.781782222,0
-1.101477483,-1.006839784,2988880.134,2093535.591,0.78174243,0
-1.083753402,-0.93284372,2988880.134,2096535.591,0.781732122,0
-1.19394267,-0.203815871,2988880.134,2099535.591,0.781714332,0
-1.282298304,0.04565824,2988880.134,2102535.591,0.781714291,0
-1.238497748,-0.532880758,2988880.134,2105535.591,0.781714522,0
-1.091520116,-1.226801045,2988880.134,2108535.591,0.781831378,0
-1.04229823,-1.050768495,2988880.134,2111535.591,0.781774701,0
-1.07583778,-0.699673478,2988880.134,2114535.591,0.781718403,0
-1.075857065,-0.722736273,2988880.134,2117535.591,0.781719073,0
-1.099830274,-0.460570577,2988880.134,2120535.591,0.781714904,0
-1.181782033,-1.448175264,2985880.134,1997535.591,0.781889568,0
-1.311831621,-0.457740322,2985880.134,2000535.591,0.781714366,0
-1.231407453,-1.15474738,2985880.134,2003535.591,0.781733984,0
-1.171359065,-1.03106589,2985880.134,2006535.591,0.781730033,0
-1.317067923,-0.511257469,2985880.134,2009535.591,0.781714387,0
-1.225500251,-0.760005574,2985880.134,2012535.591,0.781715644,0
-1.488809569,-0.327642986,2985880.134,2015535.591,0.781714294,0
-1.209891565,-1.431082002,2985880.134,2018535.591,0.781862007,0
-1.252475828,-1.341265786,2985880.134,2021535.591,0.781769129,0
