idstate,idaction,qvalue
45,0,967.1437746075376
45,1,970.7850739308568
46,0,993.3873253394011
46,1,992.6823970790406
47,0,986.64870351723755
47,1,997.0666027764025
48,0,995.4118806791289
48,1,994.6752476485728
49,0,988.9310788956659
49,1,988.8663056933462
50,0,990.7221241197826
50,1,989.8361010517125
51,0,724.5991416343055
51,1,968.1390471007446
52,0,981.9860896779178
52,1,980.3312667733132
53,0,986.8986249722337
53,1,986.5294997307398
54,0,986.7536416079956
54,1,988.288865602012
55,0,990.2865778541135
55,1,990.5023971534295
56,0,989.9147455281172
56,1,989.7235269676886
57,0,984.1072555889266
57,1,985.1975156859561
58,0,988.3855460919938
58,1,987.9590293683189
59,0,978.7650417915312
59,1,976.4099539611516
60,0,987.3967902967065
60,1,989.7666547845939
61,0,974.0159039761155
61,1,972.6944171779792
62,0,983.6193491126937
62,1,984.0621503185134
63,0,976.230327925547
63,1,978.4427236199792
64,0,993.0509739504562
64,1,992.4361027158272
65,0,980.7780438615235
65,1,983.8033709814414
66,0,990.5903617896267
66,1,989.1643490501606
67,0,994.2608516182413
67,1,994.6464233844692
68,0,983.5972728576912
68,1,980.6413260579442
69,0,986.9175726263912
69,1,989.618486700484
70,0,992.9578012913831
70,1,992.7362191385305
71,0,986.8957408876911
71,1,988.6926404053879
72,0,994.3321574833784
72,1,994.7755352274974
73,0,980.6231424618995
73,1,977.5621787994414
74,0,991.8200615646721
74,1,992.0190489762365
75,0,983.9862662414378
75,1,982.2756561788054
76,0,970.7735311983122
76,1,970.0771005954857
77,0,995.394871009861
77,1,994.5730836583501
78,0,983.2314821332826
78,1,977.3187332837429
79,0,989.4766203131342
79,1,986.7119955998435
80,0,987.7179378367821
80,1,989.2801304811364
81,0,980.2316900812367
81,1,981.2240310913428
82,0,990.3357889725688
82,1,986.463383948236
83,0,979.5701239565332
83,1,976.3841452173298
84,0,978.2990079976805
84,1,978.3734064761976
85,0,987.2743586302818
85,1,984.9711721153467
86,0,985.0255625652397
86,1,983.6731305188849
87,0,983.1721390605089
87,1,985.4529916518588
88,0,991.4130095598136
88,1,994.2715312582353
89,0,996.8557381302021
89,1,996.4662893389336
90,0,986.7127825181424
90,1,982.859495275816
91,0,990.6971928675805
91,1,991.081070385703
92,0,989.8875461423676
92,1,992.2549130870616
93,0,977.7810003036582
93,1,976.468258411185
94,0,986.5890912214428
94,1,989.8414677161535
95,0,981.4185482977767
95,1,981.724953471593
96,0,987.7130644729635
96,1,985.8856062288963
97,0,952.1031715099349
97,1,950.9519580806902
98,0,977.8201236138644
98,1,973.5878278964005
99,0,985.6451758906331
99,1,983.5630316667384
100,0,994.7326498193358
100,1,994.9424431731027
101,0,969.95085663073
101,1,987.1658318349168
102,0,981.1891715976964
102,1,978.5432158129948
103,0,982.2011164935501
103,1,985.0474152176395
104,0,990.255613358832
104,1,992.6628909924384
105,0,986.0910120907783
105,1,987.3717023497873
106,0,986.6805965218983
106,1,988.6221746056971
107,0,986.7740614776365
107,1,986.6840433427994
108,0,969.5821445114208
108,1,969.623726784007
109,0,993.0405958033303
109,1,991.6689199199924
110,0,874.1353875881166
110,1,944.9361316754485
111,0,986.0532886113864
111,1,986.6777701378738
112,0,986.7795011042405
112,1,984.7929396390703
113,0,992.3696019875101
113,1,992.1837088077903
114,0,979.7368921168265
114,1,976.1034163041493
115,0,974.054876651261
115,1,971.3672638329953
116,0,986.0884490480487
116,1,984.1942108609426
117,0,985.6592352616095
117,1,984.7016513236374
118,0,981.6130112852861
118,1,985.3388290833619
119,0,986.1206228088867
119,1,987.4560649582324
120,0,977.7576441640331
120,1,978.7777721785678
121,0,979.9906280322185
121,1,982.3459320521204
122,0,991.7825756388318
122,1,991.5976448467956
123,0,974.1178761509486
123,1,979.162031306651
124,0,975.883586082006
124,1,970.7141594312927
125,0,982.5082901993903
125,1,977.5263606353224
126,0,978.5088368470842
126,1,976.4701538480546
127,0,978.7760341616973
127,1,980.3928469442003
128,0,967.3663475906479
128,1,966.1831095325695
129,0,989.1919947902894
129,1,993.4106658186846
130,0,978.7143409115499
130,1,978.7144029448243
131,0,945.3308435363568
131,1,948.2484934958895
132,0,985.4531109959465
132,1,982.2663617504006
133,0,989.5358264856045
133,1,991.5157879679871
134,0,979.2168248819811
134,1,981.6626700026097
135,0,987.5613490950648
135,1,987.4463001000183
136,0,987.5447356534953
136,1,987.8335236013911
137,0,992.1744918070095
137,1,993.0216150740977
138,0,976.8426857421156
138,1,971.8540274036865
139,0,982.9804616353076
139,1,981.7433492810659
140,0,985.7660732336202
140,1,985.9271535651815
141,0,930.3460857870455
141,1,968.7793276453815
142,0,987.8882128410258
142,1,996.5784288271924
143,0,984.125396684547
143,1,984.5951582557763
144,0,988.7092166169549
144,1,992.1302188376194
145,0,947.1950600234077
145,1,956.4197221703723
146,0,989.6208413885535
146,1,988.7741685413507
147,0,974.2695974588429
147,1,980.7115270466281
148,0,990.9867787679498
148,1,991.1137975998281
149,0,977.629521490799
149,1,977.1311091144489
150,0,990.7704347033095
150,1,990.4467716353051
151,0,973.3926243395856
151,1,972.6506246050457
152,0,985.2534943062437
152,1,984.8163343672691
153,0,993.8634307637658
153,1,991.9026432169514
154,0,984.5667354538417
154,1,983.8968343996578
155,0,987.0469200336374
155,1,990.213438185153
156,0,989.5097213809358
156,1,989.7314845219294
157,0,985.2198185748872
157,1,982.4867763075893
158,0,982.1322520125465
158,1,978.5269425789528
159,0,986.1669673561275
159,1,988.0910156757727
160,0,991.9164388904169
160,1,993.0540984593081
161,0,986.3301019662304
161,1,985.6480657637028
162,0,986.3350286726318
162,1,985.3868453291295
163,0,987.4659522650812
163,1,988.1031320656631
164,0,983.5402422126791
164,1,986.5658705243383
165,0,975.4584870830106
165,1,974.0676532765647
166,0,984.2074183615865
